acronym	name	where
ECTIJ 2024	Economics, Commerce and Trade Management: An International Journal 	N/A
LSIJ 2024	Life Sciences: an International Journal 	N/A
BDAI 2024	IEEE--2024 7th International Conference on Big Data and Artificial Intelligence (BDAI 2024)	Beijing, China
ACM ICCBDC 2024	ACM--2024 8th International Conference on Cloud and Big Data Computing (ICCBDC 2024)  	Oxford, United Kingdom
ICIIP--Scopus 2024	2024 13th International Conference on Intelligent Information Processing (ICIIP 2024)	Oxford, United Kingdom
ICBDC--Ei 2024	2024 9th International Conference on Big Data and Computing (ICBDC 2024)	Bangkok, Thailand
IEEE COINS  2024	IEEE COINS 2024 - London, UK - July 29-31 - Hybrid (In-Person & Virtual)	Hybrid Event
ACM-Ei/Scopus-CNIOT 2024	2024 5th International Conference on Computing, Networks and Internet of Things (CNIOT 2024) -EI Compendex	Tokyo, Japan
ACM-Ei/Scopus-CWCBD 2024	2024 5th International Conference on Wireless Communication and Big Data (CWCBD 2024)  -EI Compendex	Tokyo, Japan
BCD 2024-Summer 2024	9th ACIS International Summer Conference on Big Data, Cloud Computing, and Data Science	Kitakyushu, Fukuoka, Japan
ICITS--EI 2024	2024 The 12th International Conference on Information Technology and Science (ICITS 2024)	Phuket Island, Thailand
AIBT 2024	2024 The 3rd International Conference on Artificial Intelligence and Blockchain Technology (AIBT 2024)	Beijing, China
BDEE 2024	2024 The 4th International Conference on Big Data Engineering and Education (BDEE 2024)	Chiangmai, Thailand
IEEE ICAIBD 2024	IEEE--2024 The 7th International Conference on Artificial Intelligence and Big Data (ICAIBD 2024)	Chengdu, China
ACM BDE 2024	ACM--2024 6th International Conference on Big Data Engineering (BDE 2024)	Xining, China
DaWaK 2024	26th International Conference on Big Data Analytics and Knowledge Discovery	Naples, Italy
IEEE IMC  2024	The 12th IEEE International Conference on Intelligent Mobile Computing	Sanghai,China
ICCFI 2024	2024 The 8th International Conference on Communications and Future Internet (ICCFI 2024)	Kagoshima, Japan
IMMS 2024	ACM--2024 the 7th International Conference on Information Management and Management Science (IMMS 2024)	Beijing, China
BECS 2024	4th International Workshop on Big data driven Edge Cloud Services	Tampere, Finland
AIBC 2024	2024 5th International Artificial Intelligence and Blockchain Conference (AIBC 2024)	The University of Tokyo, Japan
BDML 2024	2024 7th International Conference on Big Data and Machine Learning (BDML 2024)	Xiamen, China
ICBDE 2024	2024 The 7th International Conference on Big Data and Education (ICBDE 2024)	Oxford, UK
ICITT 2024	2024 8th International Conference on Intelligent Traffic and Transportation (ICITT 2024)	Florence, Italy
ICMIS 2024	2024 2nd International Conference on Management Information System (ICMIS 2024)	Tokyo, Japan
Call for Chapters  - CRC Press 2024	Internet of Things: Challenges and Advances	Book by Qusay F. Hassan - CRC Press/USA
ACM BDCI 2024	ACM--2024 The 4th International Conference on Big Data and Computational Intelligence (BDCI 2024)	Kyoto, Japan
ACM BDIOT 2024	ACM--2024 8th International Conference on Big Data and Internet of Things (BDIOT 2024)	Macao, China
SoCAV 2024	2024 International Symposium on Connected and Autonomous Vehicles (SoCAV 2024)	Virtually
WBDC  2024	2024 International Conference on Big Data and Computing 	online
ACM ICBDT 2024	ACM--2024 7th International Conference on Big Data Technologies (ICBDT 2024)	Hangzhou, China
ICCDA 2024	2024 The 8th International Conference on Computing and Data Analysis (ICCDA 2024)	Wenzhou, China
BDMO--EI 2024	2024 3rd International Conference on Big Data Modeling and Optimization (BDMO 2024)	Huddersfield, UK
IDSTA 2024	The International Conference on Intelligent Data Science Technologies and Applications	Dubrovnik, Croatia
ADBIS 2024	28th European Conference on Advances in Databases and Information Systems	Bayonne, France
ACM ICICM 2024	ACM--2024 The 14th International Conference on Information Communication and Management (ICICM 2024)	France, Paris
IDEAS  2024	The 28th International Database Engineered Applications Symposium	Bayonne
CECCC 2024	IEEE--2024 6th International Communication Engineering and Cloud Computing Conference (CECCC 2024)	Chengdu, China
ITADATA 2024	The 3rd Italian Conference on Big Data and Data Science	Pisa, Italy
ICoSR 2024	2024 3rd International Conference on Service Robotics 	Hangzhou, China
ACM ICIT 2024	ACM--2024 The 12th International Conference on Information Technology: IoT and Smart City (ICIT 2024)	Kuala Lumpur, Malaysia
ACM ICBTA 2024	ACM--2024 7th International Conference on Blockchain Technology and Applications (ICBTA 2024)	Xi'an, China
ICBDM 2024	2024 5th International Conference on Big Data in Management (ICBDM 2024)	Chiang Mai, Thailand
ACM ICISE 2024	ACM--2024 9th International Conference on Information Systems Engineering (ICISE 2024)	Chiang Mai, Thailand
CDMA 2024	8th International Conference on Data Science and Machine Learning	Riyadh, Saudi Arabia
ICDICI 2024	5th International Conference on Data Intelligence and Cognitive Informatics	Tirunelveli, Tamil Nadu, India
BDCAT 2024	IEEE/ACM Intâl Conf. on Big Data Computing, Applications, and Technologies	Sharjah, UAE
ICBICC 2024	2024 International Conference on Big Data, IoT, and Cloud Computing (ICBICC 2024)	Xishuangbanna, China
DSIT 2024	7th International Conference on Data Science and Information Technology	Nanjing, China
CSIT 2024	11th International Conference on Computer Science and Information Technology	Sydney, Australia
CACIT 2024	4th International Conference on Advances in Computing & Information Technologies	Copenhagen, Denmark
BDAP 2024	International Conference on Big Data and Applications	Sydney, Australia
DMSE  2024	5th International Conference on Data Mining and Software Engineering	London, United Kingdom
BIOS 2024	10th International Conference on Bioinformatics & Biosciences 	Toronto, Canada
SIGL 2024	11th International Conference on Signal and Image Processing	Melbourne, Australia
AIMLNET 2024	4th International conference on AI, Machine Learning in Communications and Networks 	London, United Kingdom
NMOCT 2024	10th International Conference on Networks, Mobile Communications and Telematics	Toronto, Canada
SIPRO 2024	10th International Conference on Signal and Image Processing	Zurich, Switzerland
DMML 2024	5th International Conference on Data Mining & Machine Learning 	Sydney, Australia
Meche 2024	11th International Conference on Mechanical Engineering	Sydney, Australia
CHEME  2024	8th International Conference on Chemical Engineering	Sydney, Australia
NLPML 2024	5th International Conference on Natural Language Processing and Machine Learning	Melbourne, Australia
SOENG  2024	10th International Conference on Software Engineering	Sydney, Australia
MLT 2024	5th International Conference on Machine Learning & Trends	Vancouver, Canada
BINLP 2024	4th International Conference on Big Data, IOT & NLP	London, United Kingdom
SIPM 2024	12th International Conference on Signal Image Processing and Multimedia	Copenhagen, Denmark
DMSE  2024	5th International Conference on Data Mining and Software Engineering	London, United Kingdom
AMLA  2024	5th International Conference on Advanced Machine Learning	Sydney, Australia
ArIT  2024	5th International Conference on Advances in Artificial Intelligence Techniques	London, United Kingdom
ArIT  2024	5th International Conference on Advances in Artificial Intelligence Techniques	London, United Kingdom
SAI 2024	13th International Conference on Soft Computing, Artificial Intelligence and Applications	Vancouver, Canada
GRAPH-HOC 2024	16th International Conference on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks	London, United Kingdom
IJCIS 2024	International Journal on Cryptography and Information Security 	N/A
CYBI 2024	11th International Conference on Cybernetics & Informatics	Melbourne, Australia
NeTCoM 2024	16th International Conference on Networks & Communications	London, United Kingdom
SAIM 2024	5th International Conference on Soft Computing, Artificial Intelligence and Machine Learning	Copenhagen, Denmark
SPTM 2024	12th International Conference of Security, Privacy and Trust Management	Sydney, Australia
BINLP 2024	4th International Conference on Big Data, IOT & NLP	London, United Kingdom
MEC 2024	8th International Conference on Trends in Mechanical Engineering 	Virtual Conference
ADCO 2024	11th International Conference on Advanced Computing	Sydney, Australia
IJMPICT 2024	International Journal of Managing Public Sector Information and Communication Technologies	N/A
CMLA 2024	6th International Conference on Machine Learning & Applications	London, United Kingdom
ICAITA 2024	13th International Conference on Advanced Information Technologies and Applications	Vancouver, Canada
IPPR 2024	10th International Conference on Image Processing and Pattern Recognition	Sydney, Australia
IJDPS 2024	International Journal of Distributed and Parallel systems	N/A
DMA 2024	10th International Conference on Data Mining and Applications	Melbourne, Australia
DMML 2024	5th International Conference on Data Mining & Machine Learning 	Sydney, Australia
CIOS 2024	2nd International Conference on Cloud, IoT and Security	Virtual Conference
AIAPP 2024	11th International Conference on Artificial Intelligence and Applications	Melbourne, Australia
IPDCA 2024	13th International conference on Parallel, Distributed Computing and Applications 	Sydney, Australia
DKMP  2024	12th Conference on Data Mining & Knowledge Management Process	Zurich, Switzerland
CoSIT 2024	11th International Conference on Computer Science and Information Technology	Melbourne, Australia
CBDA 2024	5th International Conference on Big Data	Melbourne, Australia
CLOUD 2024	13th International Conference on Cloud Computing: Services and Architecture	Zurich, Switzerland
CSEIT 2024	11th International Conference on Computer Science, Engineering and Information Technology	London, United Kingdom
AIMLNET 2024	4th International conference on AI, Machine Learning in Communications and Networks 	London, United Kingdom
CSEAI 2024	2nd International Conference on Computer Science, Engineering and Artificial Intelligence	Virtual Conference
CHENG  2024	International Conference on Advances in Chemistry & Chemical Engineering 	Virtual Conference
IJAIA 2024	International Journal of Artificial Intelligence & Applications - H Index - 36	N/A
AdNLP  2024	5th International conference on Advanced Natural Language Processing	Vancouver, Canada
SCDD 2024	International Conference on Soft Computing, Data mining and Data Science	Virtual Conference
HAS  2024	International Conference on Humanities, Art and Social Studies	Virtual Conference
BDML 2024	5th International Conference on Big Data and Machine Learning	Zurich, Switzerland
NSEC 2024	8th International Conference on Networks and Security	Copenhagen, Denmark
CSITEC 2024	10th International Conference on Computer Science, Information Technology	Sydney, Australia
AIS 2024	10th International Conference on Artificial Intelligence and Soft Computing	Sydney, Australia
CMLA 2024	6th International Conference on Machine Learning & Applications	London, United Kingdom
BMLI 2024	5th International Conference on Big Data, Machine Learning and IoT 	Copenhagen, Denmark
CIoT 2024	6th International Conference on Internet of Things	London, United Kingdom
CMCA 2024	13th International Conference on Control, Modelling, Computing and Applications	Sydney, Australia
ITCA  2024	12th International Conference of Information Technology, Control and Automation 	Copenhagen, Denmark
ANTJ 2024	Advanced Nanoscience and Technology: An International Journal 	N/A
NCO 2024	10th International Conference on Networks and Communications	Vancouver, Canada
CE 2024	8th International Conference on Civil Engineering	Copenhagen, Denmark
MLAIJ 2024	Machine Learning and Applications: An International Journal 	N/A
IJCGA 2024	International Journal of Computer Graphics & Animation 	N/A
IJCSIT 2024	International Journal of Computer Science and Information Technology - h-index 56	N/A
IJAIT 2024	International Journal of Advanced Information Technology 	N/A
IJCSES 2024	International Journal of Computer Science and Engineering Survey	N/A
CSIJ 2024	Circuits and Systems: An International Journal (CSIJ)	N/A
IJME 2024	International Journal of Microelectronics Engineering 	N/A
CSEIJ 2024	Call for Conference Proceedings - Computer Science & Engineering: An International Journal	N/A
IJMA 2024	International Journal of Multimedia & Its Applications -- ERA Indexed	N/A
IJCSITCE 2024	The International Journal of Computational Science, Information Technology and Control Engineering 	N/A
IJCSA 2024	International Journal on Computational Science & Applications	N/A
IJITCS 2024	International Journal of Information Technology Convergence and services	N/A
BIOEJ 2024	Bioscience & Engineering: An International Journal 	N/A
IJANS 2024	International Journal on AdHoc Networking Systems	N/A
ACM ICCMS 2024	ACM--2024 The 16th International Conference on Computer Modeling and Simulation (ICCMS 2024)	Dalian, China
IJCSEIT 2024	International Journal of Computer Science, Engineering and Information Technology	N/A
AIME 2024	22nd International Conference of Artificial Intelligence in Medicine	Salt Lake City, UT, USA
ABB 2024	The 5th Joint International Conference on AI, Big Data and Blockchain (ABB 2024)	Vienna
FiCloud 2024	The 11th International Conference on Future Internet of Things and Cloud 	Vienna
WiCV @ CVPR 2024	12th Women in Computer Vision workshop at CVPR 2024	Seattle, USA
ISIPA 2024	2024 International Symposium on Image Processing and Analysis 	Xiamen, China
ICANN 2024	33rd International Conference on Artificial Neural Networks	Lugano-Viganello, Switzerland
COPA 2024	13th Symposium on Conformal and Probabilistic Prediction with Applications	Milan, Italy
DL for Neuro-heuristic Brain Analysis 2024	Workshop on Deep Learning for Neuro-heuristic Brain Analysis @ ICANN'24	Lugano, Switzerland
ICAISE--EI 2024	2024 3rd International Conference on Artificial Intelligence and Software Engineering (ICAISE 2024)	Singapore
MDAI 2024	21st International Conference on Modeling Decisions for Artificial Intelligence	Tokyo, Japan
AVSS 2024	20th IEEE International Conference on Advanced Video and Signal-Based Surveillance	Niagara Falls, Canada
CFP-CIPCV-EI/SCOPUS 2024	2024 2nd International Conference On Intelligent Perception And Computer Vision	Xiamen, China
KES 2024	28th International Conference on Knowledge-Based and Intelligent Information and Engineering Systems	Seville, Spain
FLAWR 2024	Federated Learning Applications in the Real World	Xanthi, Greece
ISPR 2024	4th International Conference on Intelligent Systems and Pattern Recognition	Istanbul, Turkey
CSE 2024	12th International Conference on Computational Science and Engineering	Dubai, UAE
DSCC 2024	5th International Conference on Data Science and Cloud Computing	Dubai, UAE
SCOM 2024	12th International Conference on Soft Computing	 Dubai, UAE
SOFTFM 2024	3rd International Conference on Software Engineering Advances and Formal Methods 	Chennai, India
MLBriefs 2024	4th IPOL â MLBriefs workshop of Reproducible Research	Gif-sur-Yvette (Paris suburbs), France
COMIT 2024	https://comit2024.org/	Chennai, India
AISO 2024	10th International Conference on Artificial Intelligence and Soft Computing 	Chennai, India
AI & FL 2024	3rd International Conference of Multidisciplinary & Interdisciplinary Bioscience	Dubai, UAE
BIOM 2024	4th International Conference on Big Data, IoT and Machine Learning	Chennai, India
NLPTT 2024	5th International Conference on NLP Trends & Technologies	Dubai, UAE
EEIEJ 2024	Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal	N/A
NTIRE 2024	CVPR 2024 New Trends in Image Restoration and Enhancement workshop and challenges	Seattle, US
MAI 2024	CVPR 2024 Mobile AI workshop and challenges	Seattle, US
IJSC 2024	International Journal on Soft Computing  	N/A
HIIJ 2024	Health Informatics: An International Journal	N/A
MEIJ 2024	Mechanical Engineering: An International Journal 	N/A
ELELIJ 2024	Electrical and Electronics Engineering:  An International Journal	N/A
IJRAP 2024	International Journal of Recent advances in Physics 	N/A
IJSCAI 2024	International Journal on Soft Computing, Artificial Intelligence and Applications 	N/A
IJP2P 2024	International Journal of Peer-to-Peer networks	N/A
AMS 2024	Advanced Medical Sciences: An International Journal	N/A
ICSCT 2024	2024 13th International Conference on Software and Computing Technologies (ICSCT 2024)	Danang, Vietnam
IWPR--EI 2024	2024 9th International Workshop on Pattern Recognition (IWPR 2024)	Xiamen, China
PRML--EI 2024	2024 the 5th International Conference on Pattern Recognition and Machine Learning (PRML 2024)	Chongqing, China
NLPAI 2024	2024 5th International Conference on Natural Language Processing and Artificial Intelligence (NLPAI 2024)	Chongqing, China
ACMLC 2024	2024 6th Asia Conference on Machine Learning and Computing (ACMLC 2024)	Bangkok, Thailand
Human-Centred XAI 2024	Enhancing AI Acceptability for Healthcare (IEEE ICHI Workshop)	Orlando, Florida, USA (and Online)
TAA - LMHCU 2024	Towards an Automated Art? Learning Machines, Human Creativity and Uncertainty	Lisbon, Portugal
ECML-PKDD 2024	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	Vilnius, Lithuania
CVMI@CVPR 2024	9th IEEE Workshop on Computer Vision for Microscopy Image Analysis (CVMI) @ CVPR 2024	Seattle WA, USA
FL@FM-ICME 2024	International Workshop on Federated Learning and Foundation Models for Multi-Media	Niagara Falls, ON, Canada
ACDL 2024	7th Advanced Course on Data Science & Machine Learning	Tuscany, Italy
ICIEM 2024	5th International Conference on Intelligent Engineering and Management	London, United Kingdom
IEEE PRAI 2024	IEEE--2024 the 7th International Conference on Pattern Recognition and Artificial Intelligence (PRAI 2024)	Hangzhou, China
PCEIoT 2024	4th Workshop on Privacy in the Cloud/Edge/IoT World 2024 	Hanoi (Vietnam) and Online (Virtual)
MLANN  2024	2024 2nd Asia Conference on Machine Learning, Algorithms and Neural Networks (MLANN 2024)	Xiamen, China
CVIPPR 2024	2024 2nd Asia Conference on Computer Vision, Image Processing and Pattern Recognition 	Xiamen, China
FAIML  2024	2024 3rd International Conference on Frontiers of Artificial Intelligence and Machine Learning	Chongqing, China
ADEIJ 2024	Advances in Engineering: an International Journal 	N/A
OPTLJ 2024	Integrated Optics and Lightwave : An International Journal	N/A
IJAD 2024	International Journal of Advanced Dermatology 	N/A
AITIJ 2024	Advances in Interconnect Technologies: An International Journal	N/A
JPS 2024	Journal of Political Science (JPS)	N/A
LSIJ 2024	Life Sciences: an International Journal 	N/A
ICFIT--ESCI 2024	2024 13th International Conference on Frontiers of Intelligent Technology (ICFIT 2024)--ESCI	Macau, China
AEROIJ 2024	Aerospace Engineering: An International Journal 	N/A
ECTIJ 2024	Economics, Commerce and Trade Management: An International Journal 	N/A
AIAAT 2024	2024 7th International Conference on Artificial Intelligence Applications and Technologies 	 Kuala Lumpur, Malaysia
JEDT 2024	International Journal of Electronic Design and Test	N/A
IEEE COINS  2024	IEEE COINS 2024 - London, UK - July 29-31 - Hybrid (In-Person & Virtual)	Hybrid Event
ACM-EI/Scopus-CVGIP 2024	2024 International Conference on Computer Vision, Graphics and Image Processing (CVGIP 2024)-EI Compendex	Hangzhou, China
ARISDE 2024	1st International Workshop on Artificial Intelligence for Sustainable Development	Virtual event
ACM-Ei/Scopus-CCNML 2024	2024 4th International Conference on Communications, Networking and Machine Learning (CCNML 2024) -EI Compendex	Shanghai, China
CVIV 2024	2024 6th International Conference on Advances in Computer Vision, Image and Virtualization (CVIV 2024) -EI Compendex	Sanya, China
ACM-Ei/Scopus-AI2A 2024	2024 4th International Conference on Artificial Intelligence, Automation and Automation (AI2A 2024) -EI Compendex	Shanghai, China
MTAP special issue 2024	Heritage Preservation in the Digital Age: Advances in machine learning, monomodal and multimodal processing, and human-machine interaction	N/A
AITC--EI 2024	2024 6th International Artificial Intelligence Technology Conference (AITC 2024)	Qingdao, China
IDC 2024	Intelligent Distributed Computing	Brighton, U.K
ACM SPML 2024	ACM--2024 7th International Conference on Signal Processing and Machine Learning (SPML 2024)	Qingdao, China
ACM-Ei/Scopus-SCDMC 2024	2024 International Conference on Soft Computing, Data Mining and Cybersecurity (SCDMC 2024)	Xiamen, China 
ARISDE 2024	1st International Workshop on Artificial Intelligence for Sustainable Development	Sozopol, Bulgaria
ACM-EI/Scopus-ARAEML  2024	2024 International Conference on Advanced Robotics, Automation Engineering and Machine Learning (ARAEML 2024) -EI Compendex	Hangzhou, China
COCOON 2024	30th International Computing and Combinatorics Conference	shanghai, China
ICIC 2024	20th International Conference on Intelligent Computing	Tianjin, China
ICACR 2024	2024 the 8th International Conference on Automation, Control and Robots (ICACR 2024)	Xiangyang, China
MLVis 2024	Machine Learning Methods in Visualisation for Big Data	Odense, Denmark
ACM ICMLT 2024	ACM--2024 9th International Conference on Machine Learning Technologies (ICMLT 2024)	Oslo, Norway
WCSE 2024	2024 The 14th International Workshop on Computer Science and Engineering (WCSE 2024)	Phuket Island, Thailand
ICCIA 2024	2024 9th International Conference on Computational Intelligence and Applications (ICCIA 2024)	Haikou, China
ACM ICDLT 2024	ACM--2024 8th International Conference on Deep Learning Technologies (ICDLT 2024)	Suzhou, China
IEEE ACIRS 2024	IEEE--2024 the 9th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2024)	Dalian, China
DaWaK 2024	26th International Conference on Big Data Analytics and Knowledge Discovery	Naples, Italy
IWCFS 2024	The 9th International Workshop on Cyber-Security and Functional Safety in Cyber-Physical Systems	Naples, Italy
AISys 2024	The 4th International Workshop on AI System Engineering: Math, Modelling and Software 	Naples, Italy
AISys 2024	The 4th International Workshop on AI System Engineering: Math, Modelling and Software 	Naples, Italy
AABOH 2024	GECCO 2024 Workshop: Analysing algorithmic behaviour of optimisation heuristics 	Melbourne (Hybrid)
KES - IADSP 2024	KES 2024 -- Invited Session on Interdisciplinary Approaches in Data Science Practice	Seville
KES - IADT 2024	KES 2024 -- Invited Session on Interdisciplinary Approaches in Digital Transformation	Seville
JCICE 2024	2024 International Joint Conference on Information and Communication Engineering(JCICE 2024)	Fuzhou, China
LEAP-BH 2024	Leveraging Emerging AI Paradigms in Biomedical Healthcare	Swansea, UK
LEAP-BH (@AIiH)  2024	Leveraging Emerging AI Paradigms in Biomedical Healthcare	Swansea, UK
Cape Town-AMRMT 2024	2024 9th International Conference on Advanced Materials Research and Manufacturing Technologies (AMRMT 2024)	Cape Town, South Africa
OL2A 2024	4th International Conference on Optimization, Learning Algorithms and Applications	Tenerife, Spain
IEEE ITSC 2024	27th IEEE International Conference on Intelligent Transportation Systems	Edmonton, Canada
IMSA,  Challenges of Intelligent Systems 2024	Intelligent Methods, Systems, and Applicationsâ 	Cairo, Egypt
CIFEr 2024	IEEE Symposium on Computational Intelligence for Financial Engineering and Economics	Hoboken, New Jersey, USA
EAAMO 2024	ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization	San Luis Potosi, Mexico
AMRMT 2024	2024 9th International Conference on Advanced Materials Research and Manufacturing Technologies (AMRMT 2024)	Cape Town, South Africa
LearnAut 2024	Learning and Automata	Tallinn, Estonia
ICAII--EI 2024	2024 the 2nd International Conference on Artificial Intelligence Innovation (ICAII 2024)	Bangkok, Thailand
ICAITE 2024	2024 the International Conference on Artificial Intelligence and Teacher Education (ICAITE 2024)	Beijing, China
ICACTE 2024	IEEE--2024 The 17th International Conference on Advanced Computer Theory and Engineering (ICACTE 2024)	Hefei, Anhui, China
ASSE 2024	ACM--2024 5th Asia Service Sciences and Software Engineering Conference (ASSE 2024)	The University of Tokyo, Japan
IEEE LA-CCI 2024	IEEE Latin America Conference on Computational Intelligence	Bogota, Columbia
BDML--EI 2024	2024 7th International Conference on Big Data and Machine Learning (BDML 2024)	Xiamen, China
MIET 2024	2nd International Conference on Machine Intelligence and Emerging Technologies	Noakhali, Bangladesh
AEEGE 2024	2024 3rd International Conference on Advanced Electronics, Electrical and Green Energy (AEEGE 2024)	Chengdu,  China
ACM MLMI 2024	ACM--2024 The 7th International Conference on Machine Learning and Machine Intelligence (MLMI 2024)	Osaka, Japan
MLPR 2024	2024 The 2nd International Conference on Machine Learning and Pattern Recognition (MLPR 2024)	Osaka, Japan
ECAI 2024	27th European Conference on Artificial Intelligence	Santiago de Compostela, Spain
WAML 2024	2nd  Workshop on Applications of Machine Learning and Artificial Intelligence in High-Performance Computing	Ostrava, Czech Republic
MHPC-IM 2024	Minisymposium on High Performance Computing Interval Methods	Ostrava, Czechia
ACM WSSE 2024	ACM--2024 The 6th World Symposium on Software Engineering (WSSE 2024)	Kyoto, Japan
EMSICC 2024	International Workshop on Energy Management for Sustainable Internet-of-Things and Cloud Computing	Vienna, Austria
CXAI SI 2024	Special Issue on Causal and Explainable AI	N/A
